0 0.5031 0.4969 0.0000 
1 0.3234 0.6766 0.0000 
2 0.1990 0.8010 0.0000 
3 0.1241 0.8759 0.0000 
4 0.0869 0.9131 0.0000 
5 0.0675 0.9325 0.0000 
6 0.0582 0.9418 0.0000 
7 0.0509 0.9491 0.0000 
8 0.0508 0.9492 0.0000 
9 0.0516 0.9484 0.0000 
10 0.0493 0.9507 0.0000 
11 0.0501 0.9499 0.0000 
12 0.0520 0.9480 0.0000 
13 0.0518 0.9482 0.0000 
14 0.0532 0.9468 0.0000 
15 0.0566 0.9434 0.0000 
16 0.0591 0.9409 0.0000 
17 0.0597 0.9403 0.0000 
18 0.0627 0.9373 0.0000 
19 0.0655 0.9345 0.0000 
20 0.0669 0.9331 0.0000 
21 0.0670 0.9330 0.0000 
22 0.0698 0.9302 0.0000 
23 0.0697 0.9303 0.0000 
24 0.0687 0.9313 0.0000 
25 0.0703 0.9297 0.0000 
26 0.0708 0.9292 0.0000 
27 0.0719 0.9281 0.0000 
28 0.0740 0.9260 0.0000 
29 0.0756 0.9244 0.0000 
30 0.0767 0.9233 0.0000 
31 0.0777 0.9223 0.0000 
32 0.0814 0.9186 0.0000 
33 0.0862 0.9138 0.0000 
34 0.0849 0.9151 0.0000 
35 0.0848 0.9152 0.0000 
36 0.0869 0.9131 0.0000 
37 0.0896 0.9104 0.0000 
38 0.0888 0.9112 0.0000 
39 0.0872 0.9128 0.0000 
40 0.0881 0.9119 0.0000 
41 0.0885 0.9115 0.0000 
42 0.0908 0.9092 0.0000 
43 0.0927 0.9073 0.0000 
44 0.0953 0.9047 0.0000 
45 0.0987 0.9013 0.0000 
46 0.1023 0.8977 0.0000 
47 0.1051 0.8949 0.0000 
48 0.1068 0.8932 0.0000 
49 0.1094 0.8906 0.0000 
50 0.1137 0.8863 0.0000 
51 0.1145 0.8855 0.0000 
52 0.1162 0.8838 0.0000 
53 0.1150 0.8850 0.0000 
54 0.1177 0.8823 0.0000 
55 0.1181 0.8819 0.0000 
56 0.1218 0.8782 0.0000 
57 0.1234 0.8766 0.0000 
58 0.1269 0.8731 0.0000 
59 0.1287 0.8713 0.0000 
60 0.1325 0.8675 0.0000 
61 0.1346 0.8654 0.0000 
62 0.1395 0.8605 0.0000 
63 0.1428 0.8572 0.0000 
64 0.1426 0.8574 0.0000 
65 0.1442 0.8558 0.0000 
66 0.1448 0.8552 0.0000 
67 0.1464 0.8536 0.0000 
68 0.1472 0.8528 0.0000 
69 0.1481 0.8519 0.0000 
70 0.1520 0.8480 0.0000 
71 0.1543 0.8457 0.0000 
72 0.1557 0.8443 0.0000 
73 0.1576 0.8424 0.0000 
74 0.1583 0.8417 0.0000 
75 0.1594 0.8406 0.0000 
76 0.1583 0.8417 0.0000 
77 0.1609 0.8391 0.0000 
78 0.1648 0.8352 0.0000 
79 0.1657 0.8343 0.0000 
80 0.1667 0.8333 0.0000 
81 0.1679 0.8321 0.0000 
82 0.1712 0.8288 0.0000 
83 0.1698 0.8302 0.0000 
