# alpha C_mean D_mean P_mean C_sem D_sem P_sem
1.000000000000000056e-01 8.616999999999999105e-01 1.383000000000000063e-01 0.000000000000000000e+00 1.194084167887675321e-03 1.194084167887669249e-03 0.000000000000000000e+00
2.500000000000000000e-01 8.604590000000000849e-01 1.395409999999999984e-01 0.000000000000000000e+00 5.469539560145827116e-03 5.469539560145817575e-03 0.000000000000000000e+00
