# sigma C_mean D_mean P_mean C_sem D_sem P_sem
1.000000000000000000e+00 8.577836666666666110e-01 1.422163333333333612e-01 0.000000000000000000e+00 1.923316002232654818e-03 1.923316002232718135e-03 0.000000000000000000e+00
1.100000000000000089e+00 8.622940000000000049e-01 1.377059999999999951e-01 0.000000000000000000e+00 1.269759557291613326e-03 1.269759557291577330e-03 0.000000000000000000e+00
