0 0.5014 0.4986 0.0000 
1 0.3203 0.6797 0.0000 
2 0.1999 0.8001 0.0000 
3 0.1337 0.8663 0.0000 
4 0.0943 0.9057 0.0000 
5 0.0734 0.9266 0.0000 
6 0.0646 0.9354 0.0000 
7 0.0603 0.9397 0.0000 
8 0.0618 0.9382 0.0000 
9 0.0644 0.9356 0.0000 
10 0.0666 0.9334 0.0000 
11 0.0697 0.9303 0.0000 
12 0.0730 0.9270 0.0000 
13 0.0772 0.9228 0.0000 
14 0.0815 0.9185 0.0000 
15 0.0820 0.9180 0.0000 
16 0.0865 0.9135 0.0000 
17 0.0922 0.9078 0.0000 
18 0.0964 0.9036 0.0000 
19 0.1021 0.8979 0.0000 
20 0.1075 0.8925 0.0000 
21 0.1118 0.8882 0.0000 
22 0.1150 0.8850 0.0000 
23 0.1221 0.8779 0.0000 
24 0.1251 0.8749 0.0000 
25 0.1288 0.8712 0.0000 
26 0.1314 0.8686 0.0000 
27 0.1381 0.8619 0.0000 
28 0.1428 0.8572 0.0000 
29 0.1463 0.8537 0.0000 
30 0.1490 0.8510 0.0000 
31 0.1538 0.8462 0.0000 
32 0.1582 0.8418 0.0000 
33 0.1634 0.8366 0.0000 
34 0.1697 0.8303 0.0000 
35 0.1699 0.8301 0.0000 
36 0.1729 0.8271 0.0000 
37 0.1746 0.8254 0.0000 
38 0.1776 0.8224 0.0000 
39 0.1812 0.8188 0.0000 
40 0.1872 0.8128 0.0000 
41 0.1872 0.8128 0.0000 
42 0.1956 0.8044 0.0000 
43 0.1962 0.8038 0.0000 
44 0.1993 0.8007 0.0000 
45 0.2034 0.7966 0.0000 
46 0.2063 0.7937 0.0000 
47 0.2120 0.7880 0.0000 
48 0.2161 0.7839 0.0000 
49 0.2188 0.7812 0.0000 
50 0.2261 0.7739 0.0000 
51 0.2316 0.7684 0.0000 
52 0.2372 0.7628 0.0000 
53 0.2398 0.7602 0.0000 
54 0.2425 0.7575 0.0000 
55 0.2447 0.7553 0.0000 
56 0.2513 0.7487 0.0000 
57 0.2546 0.7454 0.0000 
58 0.2546 0.7454 0.0000 
59 0.2601 0.7399 0.0000 
60 0.2616 0.7384 0.0000 
61 0.2653 0.7347 0.0000 
62 0.2710 0.7290 0.0000 
63 0.2767 0.7233 0.0000 
64 0.2807 0.7193 0.0000 
65 0.2847 0.7153 0.0000 
66 0.2857 0.7143 0.0000 
67 0.2918 0.7082 0.0000 
68 0.2968 0.7032 0.0000 
69 0.2994 0.7006 0.0000 
70 0.2987 0.7013 0.0000 
71 0.3024 0.6976 0.0000 
72 0.3057 0.6943 0.0000 
73 0.3097 0.6903 0.0000 
74 0.3136 0.6864 0.0000 
75 0.3155 0.6845 0.0000 
76 0.3196 0.6804 0.0000 
77 0.3225 0.6775 0.0000 
78 0.3283 0.6717 0.0000 
79 0.3344 0.6656 0.0000 
80 0.3414 0.6586 0.0000 
81 0.3420 0.6580 0.0000 
82 0.3447 0.6553 0.0000 
83 0.3503 0.6497 0.0000 
84 0.3533 0.6467 0.0000 
85 0.3568 0.6432 0.0000 
86 0.3610 0.6390 0.0000 
87 0.3648 0.6352 0.0000 
88 0.3675 0.6325 0.0000 
89 0.3764 0.6236 0.0000 
